VCD info: dumpfile results/tb_grid.vcd opened for output.
Time: 1501115 | din: 143 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:   8 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1501445 | din: 143 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:   9 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1501655 | din: 143 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   3 | dout3:   9 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1600820 | din: 128 | trig: 1 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   3 | dout3:   9 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1600870 | din: 128 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   3 | dout3:   9 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1601355 | din: 128 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   4 | dout3:   9 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1601455 | din: 128 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   4 | dout3:  10 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1601965 | din: 128 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   5 | dout3:  10 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1700870 | din: 128 | trig: 1 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   5 | dout3:  10 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1700920 | din: 128 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   5 | dout3:  10 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1800920 | din: 136 | trig: 1 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   5 | dout3:  10 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1800970 | din: 136 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   5 | dout3:  10 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1802155 | din: 136 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   6 | dout3:  10 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1900970 | din: 131 | trig: 1 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   6 | dout3:  10 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1901020 | din: 131 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   6 | dout3:  10 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1901225 | din: 131 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   5 | dout3:  10 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 1901615 | din: 131 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   5 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2001020 | din: 134 | trig: 1 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   5 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2001070 | din: 134 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   5 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2002225 | din: 134 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   4 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2101070 | din: 149 | trig: 1 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   4 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
